2018年3月份水费	0000000000000000000	
2018年3月份电费	0000000000000000000	
2018年4月份室内车位费	0000000000000000000	
2018年4月租金	0000000000000000000	
2018年4月20日至2018年5月19日物业管理费	0000000000000000000	
2018年4月20日至5月19日租金	0000000000000000000	
2018年4月份保安服务费	0000000000000000000	
2018.4管理费	0000000000000000000	
装修服务费	0000000000000000000	
物料	0000000000000000000	
2018.3电费	0000000000000000000	
110联网报警系统服务费	0000000000000000000	
怡宝饮用纯净水	0000000000000000000	
胶圈	0000000000000000000	
乳胶	0000000000000000000	
2018年3月25日-4月24日保安服务费	0000000000000000000	
2018年4月份保安服务费	0000000000000000000	
台牌广告制作费	0000000000000000000	
2018年4月19日-5月18日保安服务费	0000000000000000000	
品胜（PISEN）“标准充”充电器套装（标准充电器+2500mAh 5号充电电池 AA镍氢电池*4）可	0000000000000000000	
飞利浦（PHILIPS）电动剃须刀 便携式 刮胡刀 PQ182/16	0000000000000000000	
车位服务费2018年4月2日-5月1日粤AW1C73	0000000000000000000	
车位服务费2018年4月2日-7月1日粤AW1C73	0000000000000000000	
维达(Vinda) 抽纸 超韧3层130抽软抽*18包(中规格) 整箱销售	0000000000000000000	
2018年3月押运费	0000000000000000000	
法律咨询服务费	0000000000000000000	
洁柔（C&S）抽纸 粉Face 柔韧3层120抽面巾纸*20包 无香(M号纸巾 整箱销售 面子系列可湿水	0000000000000000000	
魅族 魅蓝 6 全网通公开版 2GB+16GB 香槟金 移动联通电信4G手机 双卡双待	0000000000000000000	
天章（TANGO）新绿天章A4 70g复印纸 500张/包 5包/箱	0000000000000000000	
得宝盒抽	0000000000000000000	
电费	0000000000000000000	
职员对坐卡位	0000000000000000000	
单人员工位	0000000000000000000	
活动柜桶	0000000000000000000	
主管台	0000000000000000000	
主管椅	0000000000000000000	
移动硬盘转接线	0000000000000000000	
U盘	0000000000000000000	
锂电池	0000000000000000000	
IP 话机	0000000000000000000	
电池充电器	0000000000000000000	
110自动联网报警服务费	0000000000000000000	
2月管理费	0000000000000000000	
得力思达6546圆珠笔(蓝)(支)	0000000000000000000	
得力33399中性笔0.5mm(黑)(12支/盒)	0000000000000000000	
得力33399中性笔0.5mm(蓝)(12支/盒)	0000000000000000000	
Autocad 2018一年授权（单机版）	0000000000000000000	
3ds max 2018一年授权（单机版）	0000000000000000000	
软件 V-ray workstation for 3d Max	0000000000000000000	
人流智能传感器	0000000000000000000	
安装支架	0000000000000000000	
英制螺丝	0000000000000000000	
会议场租费	0000000000000000000	
饮水机	0000000000000000000	
联网报警服务	0000000000000000000	
活动组织策划费	0000000000000000000	
松下5号充电池	0000000000000000000	
电装工程	0000000000000000000	
2018年报警器维护费	0000000000000000000	
鉴定费	0000000000000000000	
单只玫瑰	0000000000000000000	
周大福禹州广场展位设计	0000000000000000000	
品胜（PISEN）'标准充'充电器套装（标准充电器+2500mAh 5号充电电池 AA镍氢电池*4）可充	0000000000000000000	
装修管理费	0000000000000000000	
清洁服务费	0000000000000000000	
RED利得背心式手提垃圾袋加厚90只 50cm*60cm*30只*3卷黑色	0000000000000000000	
北极绒袜子女船袜女士隐形袜短袜可爱卡通猫咪薄款透气吸汗运动防脱棉袜5双均码	0000000000000000000	
北极绒袜子男士短袜男船袜潮流男星星款舒适吸湿透气休闲棉袜运动袜5双 均码	0000000000000000000	
北极绒棉质男士内裤 男 平角裤4条装舒适透气内裤NKB-4 组合F 185	0000000000000000000	
报警器工程款	0000000000000000000	
帐本	0000000000000000000	
水笔	0000000000000000000	
D会员套餐	3040203000000000000	
检测仪	0000000000000000000	
检测仪模具费	0000000000000000000	
建筑安装	0000000000000000000	
中置柜（PT小车）	0000000000000000000	
变压器风机	0000000000000000000	
HP笔记本	0000000000000000000	
18K/753白K金	0000000000000000000	
申请费	0000000000000000000	
电锤	0000000000000000000	
精选礼盒	0000000000000000000	
K金镶嵌首饰＿HA（01HA）	0000000000000000000	
玻璃体温计（腋下用）	0000000000000000000	
保济丸	0000000000000000000	
"*医药*辛笛医用棉签(单头,灭菌级)"	0000000000000000000	
乌梅糖	0000000000000000000	
柠檬草薄荷糖	0000000000000000000	
绝缘雨鞋	0000000000000000000	
二氧化碳灭火器	0000000000000000000	
维达(Vinda) 湿巾 儿童专用卫生湿巾20片装*6包（量贩装）	0000000000000000000	
充装灭火器	0000000000000000000	
新配灭火器	0000000000000000000	
消防水带（含接扣）	0000000000000000000	
消防桶	0000000000000000000	
剪线钳	0000000000000000000	
KALAS卡拉斯 N 餐具18件 多色 AP JP	0000000000000000000	
KALAS卡拉斯 N 碟 多色 6件 AP JP	0000000000000000000	
LILLABO利乐宝 N 基础型玩具火车20件 多色 AP	0000000000000000000	
制作费	0000000000000000000	
维达(Vinda) 卷纸 蓝色经典3层200g卫生纸*27卷(整箱销售)	0000000000000000000	
手机支架	0000000000000000000	
斯佳蒙 脚凳 Nordvalla 诺瓦拉 深灰色 AP JP	0000000000000000000	
斯佳蒙 脚凳 尤帕 深绿色 AP	0000000000000000000	
斯佳蒙 脚凳 斯科特伯 黄色 AP JP	0000000000000000000	
斯佳蒙 脚凳 斯科特伯 浅青绿色 AP	0000000000000000000	
进口香蕉	0000000000000000000	
新奇士橙	0000000000000000000	
台湾青枣	0000000000000000000	
红香梨	0000000000000000000	
君子兰面粉	0000000000000000000	
金龙鱼特香花生油	0000000000000000000	
美的微波炉	0000000000000000000	
百利冷柜	0000000000000000000	
周大福林教授小册子	0000000000000000000	
狗年金币	0000000000000000000	
美的风扇	0000000000000000000	
消防工具柜	0000000000000000000	
18K/753白K金	0000000000000000000	
软件使用费	0000000000000000000	
HP内存	0000000000000000000	
手机支架	0000000000000000000	
办公椅	0000000000000000000	
促销服务费	0000000000000000000	
黄金工艺品	0000000000000000000	
足金工艺品摆件加工费	0000000000000000000	
智能奉客盘电池	0000000000000000000	
智能展示盘充电器	0000000000000000000	
智能展示盘电池	0000000000000000000	
分控键盘 ME-300安装	0000000000000000000	
布防指示灯	0000000000000000000	
报警多芯电缆 AVVR6*0.2m㎡	0000000000000000000	
镀锌线管 D25	0000000000000000000	
施耐德断路器	0000000000000000000	
字粒牌	0000000000000000000	
空调材料	0000000000000000000	
格力空调	0000000000000000000	
文化服务费	0000000000000000000	
足金饰品维修费	0000000000000000000	
(中)方形盒黑色内芯(单镯)	0000000000000000000	
(中)方形包装盒(玉镯)	0000000000000000000	
(中)方形包装盒(小套装)	0000000000000000000	
手链盒	0000000000000000000	
黄金饰品（样品）	0000000000000000000	
客单杂项1  萌狗元宝罐打板费	0000000000000000000	
周大福瑰丽珠宝画册	0000000000000000000	
黑莓手机BlackBerryMotion	0000000000000000000	
超五类线缆	0000000000000000000	
单口面板	0000000000000000000	
六类非屏蔽网络模块	0000000000000000000	
面板	0000000000000000000	
模块	0000000000000000000	
网络摄像机	0000000000000000000	
1.5米伸缩监控支架	0000000000000000000	
CS/C接口镜头	0000000000000000000	
网络水晶头	0000000000000000000	
安装调试费	0000000000000000000	
水费（2月份）	0000000000000000000	
管理费（3月份）	0000000000000000000	
快速成型机	0000000000000000000	
1.5米伸缩支架	0000000000000000000	
斜角面板，带活动遮板，双口	0000000000000000000	
银镶嵌饰品	0000000000000000000	
代发工资	0000000000000000000	
NDC-415钻石快速筛选仪	0000000000000000000	
招聘服务费	0000000000000000000	
钻石快速筛选仪	0000000000000000000	
美丽雅轻巧型组合扫把	0000000000000000000	
19mm黑色长尾夹(FP)	0000000000000000000	
得力透明封箱胶带30240	0000000000000000000	
维达180克蓝色经典卷纸3层	0000000000000000000	
维达超韧抽取式纸面巾纤巧装	0000000000000000000	
得力文件袋(萌宠家族)96183-02	0000000000000000000	
科目分类文件袋	0000000000000000000	
北极熊双面棉纸胶带DS-203	0000000000000000000	
得力姓名贴 6432	0000000000000000000	
真彩轻畅姓名贴SN6485	0000000000000000000	
彩色垃圾袋 (FP) 25只装	0000000000000000000	
雅文特级A4(70g/500S)复印纸	0000000000000000000	
RT-Mart易扎式垃圾袋 20升	0000000000000000000	
轮椅	0000000000000000000	
GPRS服务费	0000000000000000000	
广告费	0000000000000000000	
足金工艺品加工费	0000000000000000000	
PT铂金饰品	0000000000000000000	
产品拍摄	0000000000000000000	
业务促销	0000000000000000000	
飞利浦(PHILIPS)空气净化器3000系列高端款KJ360F-C06(AC3256)家用除雾霾除甲醛除过敏原	0000000000000000000	
业务促销费	0000000000000000000	
HUAWEI P20 Pro 高配版 全网通 6GB+128GB 宝石蓝	1090505010000000000	
餐费	1010101020000000000	
冠星蓝提背心	1040201240000000000	
冠星蓝提短袖套衣	1040201240000000000	
冠星蓝提短裤	1040201240000000000	
王幻织条背心	1040201240000000000	
英梭圆帽	1040201240000000000	
蓝棉字母开裤	1040201240000000000	
男四季袜	1040201240000000000	
襁褓40S粉蓝	1040201240000000000	
华为手机 畅享8e  全网通 32G  黑	1090505010000000000	
HUAWEI P20 Pro 标准版 全网通 6GB+64GB 宝石蓝	1090505010000000000	
HUAWEI Mate RS 保时捷设计 全网通 6GB+512GB 瑞红 双卡	1090505010000000000	
大米（1）	0000000000000000000	
大酱（考世茂）	0000000000000000000	
爱燃特炉	0000000000000000000	
白大衣	0000000000000000000	
有机大米箱装	0000000000000000000	
HUAWEI P20 Pro 高配版 全网通 6GB+128GB 樱粉金	1090505010000000000	
华为快充 9V2A手机充电器 带Type C线 白色	1090599000000000000	
MySQL技术内幕：InnoDB存储引擎（第2版）	0000000000000000000	
华为手机 nova 2s 全网通 6GB+128GB 银钻灰	1090505010000000000	
HUAWEI P20 全网通 6GB+64GB 宝石蓝	1090505010000000000	
HUAWEI P20 Pro 高配版 全网通 6GB+256GB 宝石蓝	1090505010000000000	
华为手机 nova 3e  全网通 128G 克莱因蓝	1090505010000000000	
泰福高T-2562不锈钢保温饭盒2.3L米白色	1080410000000000000	
泰福高T-2561不锈钢保温饭盒2.3L紫色	1080410000000000000	
蓝沙浴巾（2件装)	1040201240000000000	
森蓝手套	1040201240000000000	
"真彩,009中性笔(黑色)"	1060402010200000000	
华为手机	1090505010000000000	
HUAWEI P20 全网通 6GB+128GB 宝石蓝	1090505010000000000	
HUAWEI P20 全网通 6GB+64GB 樱粉金	1090505010000000000	
膝关节固定支具	0000000000000000000	
GIANT NUMEN PLUS HL2 可充电车首灯	1090314040000000000	
变现(你的社群价值百万)	1060201019900000000	
经济学(21世纪高职高专院校财经类教材)	1060201019900000000	
华为手机 nova 3e  全网通 64G 樱语粉	1090505010000000000	
GIANT捷安特CLD-015 迷你款双气压模式超小型气筒	1090314010000000000	
iFun 516-G	1090314010000000000	
华为平板电脑 M5 10.8英寸 WIFI 版(128GB+4GB) 香槟金	1090509010000000000	
