周大福自助零售终端设备配件	0000000000000000000	
广告立牌配套护角套（4个/套）	0000000000000000000	
四害消杀服务费	0000000000000000000	
花束	0000000000000000000	
养殖珍珠	0000000000000000000	
18K金镶嵌钻石耳钉	0000000000000000000	
不锈钢手绳	0000000000000000000	
银锁扣	0000000000000000000	
18K钻石镶嵌首饰加工费	0000000000000000000	
代理实物贵金属业务手续费	0000000000000000000	
仓储服务费	0000000000000000000	
地柜H1	0000000000000000000	
半身展柜H7	0000000000000000000	
座地灯箱ML1	0000000000000000000	
印刷胶纸	0000000000000000000	
报警系统维保费	0000000000000000000	
报警联网服务费	0000000000000000000	
工艺木座	0000000000000000000	
iPad便携式电脑	0000000000000000000	
智能展示盘	0000000000000000000	
会议桌，炭灰色木脚，四角直边，MFA红枫木三氨板	0000000000000000000	
"*家具*双Bench,开口方边脚,暖白,W1200"	0000000000000000000	
证书标签	0000000000000000000	
大臂动力电机	0000000000000000000	
标签	0000000000000000000	
广告服务服务费	0000000000000000000	
银色碳带	0000000000000000000	
发电机配件	0000000000000000000	
翡翠饰品	0000000000000000000	
遥控模块	0000000000000000000	
业务促销	0000000000000000000	
背景音乐服务费	0000000000000000000	
商标使用费	0000000000000000000	
起版费	0000000000000000000	
黑加伦提子	0000000000000000000	
红桔	0000000000000000000	
精选脐橙	0000000000000000000	
火龙果	0000000000000000000	
蒙牛纯牛奶	0000000000000000000	
红富士苹果	0000000000000000000	
首饰修理费	0000000000000000000	
无线传屏	0000000000000000000	
代订住宿费	0000000000000000000	
卡通造型使用权利金一	0000000000000000000	
起版加工费	0000000000000000000	
T恤	0000000000000000000	
防晒衣	0000000000000000000	
窗帘布	0000000000000000000	
无线话筒	0000000000000000000	
闪光灯	0000000000000000000	
无线模块	0000000000000000000	
继电器模块	0000000000000000000	
报警多芯电缆	0000000000000000000	
镀锌线管	0000000000000000000	
空调维保	0000000000000000000	
万家乐强排热水器	0000000000000000000	
图片制作费	0000000000000000000	
存储卡	0000000000000000000	
三脚架	0000000000000000000	
海尔冰箱	0000000000000000000	
8路报警主机	0000000000000000000	
报警主机控制键盘	0000000000000000000	
报警主机后备电池	0000000000000000000	
位置显示板	0000000000000000000	
指示灯(带报警音)	0000000000000000000	
讯宝DS2208-SR00007ZZWW扫描器	0000000000000000000	
不干胶贴纸	0000000000000000000	
模具加工费	0000000000000000000	
HP台式电脑	0000000000000000000	
HP显示器	0000000000000000000	
网络存储服务器	0000000000000000000	
首饰盒	0000000000000000000	
耳机	0000000000000000000	
罗技摄像头	0000000000000000000	
HP电脑	0000000000000000000	
太阳能热水系统维保	0000000000000000000	
首饰盒	0000000000000000000	
珠宝展示箱	0000000000000000000	
首饰盒	0000000000000000000	
35mm金币盒	0000000000000000000	
烟灰柱	0000000000000000000	
有机玻璃收纳盒	0000000000000000000	
固定冰箱夹板	0000000000000000000	
3mm不锈钢板	0000000000000000000	
不锈钢插销	0000000000000000000	
防火锁	0000000000000000000	
铝合金窗户滑轮	0000000000000000000	
不锈钢执货车	0000000000000000000	
放大镜不锈钢底座	0000000000000000000	
通风柜扶手喷漆	0000000000000000000	
不锈钢餐具架子	0000000000000000000	
3mm亚克力板	0000000000000000000	
假草皮	0000000000000000000	
货柜车抽屉锁	0000000000000000000	
修电器一批	0000000000000000000	
活动执行费	0000000000000000000	
制作费	0000000000000000000	
纸质发票管理服务	0000000000000000000	
纸箱	0000000000000000000	
啤盒	0000000000000000000	
工程服务	0000000000000000000	
靠墙壁柜	0000000000000000000	
梳妆台	0000000000000000000	
挂墙展示板	0000000000000000000	
吉他装饰板	0000000000000000000	
吧凳	0000000000000000000	
玻璃小房子	0000000000000000000	
DIY木纹展桌	0000000000000000000	
小画框	0000000000000000000	
独白框 大	0000000000000000000	
独白框 小	0000000000000000000	
梳妆凳	0000000000000000000	
设计师款玻璃柜	0000000000000000000	
500展桌	0000000000000000000	
六角地台	0000000000000000000	
六边形展柜 大	0000000000000000000	
六边形展柜 小	0000000000000000000	
1200玻璃柜	0000000000000000000	
工程装修	0000000000000000000	
底柜	0000000000000000000	
咨询服务费	0000000000000000000	
方形包装盒（小链坠/耳环/胸针/小手链)	0000000000000000000	
复古质感金丝带	0000000000000000000	
蓝色丝带	0000000000000000000	
方形包装盒（单镯)	0000000000000000000	
方形包装盒（玉镯/大链坠/大手链）	0000000000000000000	
鸡年金币	0000000000000000000	
涂鸦星空晴雨伞21寸	0000000000000000000	
福星宝宝公仔（座式健康宝宝）	0000000000000000000	
福星宝宝公仔（座式平安宝宝）	0000000000000000000	
展板制作	0000000000000000000	
亚克力摆件盒	0000000000000000000	
K金饰品维修费	0000000000000000000	
缓冲胶膜	0000000000000000000	
提货服务	0000000000000000000	
送货费	0000000000000000000	
展台搭建费	0000000000000000000	
FANTASTISK范塔思 餐巾纸 40x40 白色 100件 AP JP	0000000000000000000	
康普蒙 挂衣杆 100 白色 AP CN	0000000000000000000	
PAX帕克思 衣柜框架 100x58x236 白色 AP	0000000000000000000	
康普蒙 搁板 100x58 白色 AP CN	0000000000000000000	
哈斯维 双滑门 200x236 高光/白色 AP CN	0000000000000000000	
斯多尔 三门鞋柜 79x148 白色 AP CN	0000000000000000000	
（小）方形盒黑色内芯（小链坠）	0000000000000000000	
顾客资料信息反馈登记封套	0000000000000000000	
(小)方形盒外盒	0000000000000000000	
LOGO面板	0000000000000000000	
业务促销	0000000000000000000	
壁柜NH14	0000000000000000000	
狮头柜配件	0000000000000000000	
地柜NH1	0000000000000000000	
柜台机NH3	0000000000000000000	
无台灯连柜6NH	0000000000000000000	
半身展柜NH8	0000000000000000000	
储物柜	0000000000000000000	
灯箱	0000000000000000000	
电视机柜	0000000000000000000	
收银窗口	0000000000000000000	
仓内工作台	0000000000000000000	
监控台	0000000000000000000	
仓外工作台	0000000000000000000	
检验费	0000000000000000000	
(中)方形盒黑色内芯(玉镯)	0000000000000000000	
(中)方形盒外盒	0000000000000000000	
(中)方形盒黑色内芯(玉镯)	0000000000000000000	
(中)方形盒黑色内芯(小套装)	0000000000000000000	
(小)方形包装盒(戒指)	0000000000000000000	
(中)方形盒黑色内芯(单镯)	0000000000000000000	
(小)方形包装盒(小链坠)	0000000000000000000	
(中)方形包装盒(单镯)	0000000000000000000	
13版时尚店地柜 项链/手链盘	0000000000000000000	
13版时尚店地柜 人头座	0000000000000000000	
13版时尚店地柜 牌仔扣	0000000000000000000	
13版时尚店展柜 底板	0000000000000000000	
2013版锦袋	0000000000000000000	
原子印	0000000000000000000	
回墨印	0000000000000000000	
印章	0000000000000000000	
印油	0000000000000000000	
戒指盒	0000000000000000000	
首饰盒	0000000000000000000	
13版时尚店地柜 戒指座	0000000000000000000	
13版时尚店地柜 吊坠座	0000000000000000000	
手链/手镯盒	0000000000000000000	
13版时尚店地柜 耳环/钉座	0000000000000000000	
13版时尚店地柜 链坠座	0000000000000000000	
13版时尚店地柜 手镯座	0000000000000000000	
13版时尚店地柜 层/底板	0000000000000000000	
13版时尚店地柜 托/后备盘	0000000000000000000	
耳钉/项链盒	0000000000000000000	
锦袋	0000000000000000000	
180934周大福手套（大）	0000000000000000000	
180935周大福手套（小）	0000000000000000000	
文件袋	0000000000000000000	
抽纸	0000000000000000000	
201712 电话/数据会议费	0000000000000000000	
（中）方形盒外盒	0000000000000000000	
双镯盒	0000000000000000000	
（中）方形盒	0000000000000000000	
(小）方形盒	0000000000000000000	
（小）方形盒	0000000000000000000	
（小）方形盒外盒	0000000000000000000	
（中）方形包装盒（单镯）	0000000000000000000	
客单杂项1	0000000000000000000	
手链盒	0000000000000000000	
（小）方形包装盒（小链坠/耳环/胸针/小手链）	0000000000000000000	
100和200g金元宝包装盒	0000000000000000000	
300和500g金元宝包装盒	0000000000000000000	
1000g金元宝包装盒	0000000000000000000	
10到1000g金元宝包装套盒	0000000000000000000	
JEWELRIA（中）方形盒	0000000000000000000	
首饰盒	0000000000000000000	
TMARK戒指盒	0000000000000000000	
TMARK吊坠盒	0000000000000000000	
JEWELRIA（小）方形盒（戒指）	0000000000000000000	
JEWELRIA（大）方形盒	0000000000000000000	
JEWELRIA（中）大链坠手链盒	0000000000000000000	
客单杂项2	0000000000000000000	
JEWELRIA双手镯盒	0000000000000000000	
客单杂项3	0000000000000000000	
吊楣LOGO	0000000000000000000	
客单杂项4	0000000000000000000	
客单杂项5	0000000000000000000	
（小）方形包装盒（小链坠/耳环/胸针/小手链)	0000000000000000000	
自动指针钢表含濒危品	0000000000000000000	
自动上弦指针钢表	0000000000000000000	
鳄鱼皮手表带濒危品	0000000000000000000	
（中）方形包装盒（玉镯/大链坠/大手镯）	0000000000000000000	
JEWELRIA（小）方形盒（小链坠/耳环/胸针/手链）	0000000000000000000	
图片更换	0000000000000000000	
（小）方形盒黑色内芯（戒指）	0000000000000000000	
双头索嘴	0000000000000000000	
放大镜	0000000000000000000	
AA夹	0000000000000000000	
吊机	0000000000000000000	
钳子	0000000000000000000	
剪刀及类似品	0000000000000000000	
剪钳	0000000000000000000	
灯泡	0000000000000000000	
脚制	0000000000000000000	
么打头	0000000000000000000	
砂纸板	0000000000000000000	
台灯	0000000000000000000	
台塞	0000000000000000000	
铁铲	0000000000000000000	
毛扫	0000000000000000000	
进口锉	0000000000000000000	
卓弓	0000000000000000000	
砂纸	0000000000000000000	
锁头	0000000000000000000	
金箱	0000000000000000000	
抽风机	0000000000000000000	
电源	0000000000000000000	
布袋	0000000000000000000	
胶桶	0000000000000000000	
火漆球	0000000000000000000	
飞碟夹	0000000000000000000	
焊夹	0000000000000000000	
杯	0000000000000000000	
牙刷	0000000000000000000	
风球	0000000000000000000	
焊瓦	0000000000000000000	
火枪	0000000000000000000	
锤子	0000000000000000000	
夹子	0000000000000000000	
戒指铁	0000000000000000000	
碟	0000000000000000000	
平铲	0000000000000000000	
三角铲	0000000000000000000	
冬菇索嘴	0000000000000000000	
铁锤	0000000000000000000	
抛光蜡	0000000000000000000	
钢压	0000000000000000000	
索嘴	0000000000000000000	
布轮	0000000000000000000	
内绒棍	0000000000000000000	
日本钢针	0000000000000000000	
波针	0000000000000000000	
牙针	0000000000000000000	
钻针	0000000000000000000	
卓条	0000000000000000000	
子弹头	0000000000000000000	
胶轮	0000000000000000000	
微镶机	0000000000000000000	
油壶	0000000000000000000	
火机	0000000000000000000	
油管	0000000000000000000	
方铁	0000000000000000000	
盆子	0000000000000000000	
电铬铁	0000000000000000000	
卡尺	0000000000000000000	
电子	0000000000000000000	
钻悦珠宝盒	0000000000000000000	
（大）方形盒	0000000000000000000	
（中）方形包装盒（小套装）	0000000000000000000	
模具费	0000000000000000000	
114041手挽纸袋(小/短)（QQ炫舞）	0000000000000000000	
版费	0000000000000000000	
渡边A5-100页20孔 活页纸	0000000000000000000	
3M附页签550R	0000000000000000000	
万用胶（蓝丁胶）	0000000000000000000	
告示贴	0000000000000000000	
